reaction,product,Coefficient of reactants,reaction list,Feature,,,,,,,,,,,,,,,,△G,△G_norm
TP52,TP66,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.176,-1.176,0,-1.569,0,0,0,-1.569,1.176,0,5.49,0,0,-7.75,-8.19,7.91,5.49,-23.35,0.589308661
TP52,TP65,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.176,-1.176,0,-1.569,0,0,0,-1.569,1.176,0,5.49,0,0,-7.75,-7.6,7.91,5.86,-23.33,0.589437163
TP51,TP64,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.176,-1.176,0,-1.569,0,0,0,-1.569,1.176,0,5.49,0,0,-7.78,-7.24,7.94,5.55,-22.87,0.592392701
TP52,TP64,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.176,-1.176,0,-1.569,0,0,0,-1.569,1.176,0,5.49,0,0,-7.75,-7.24,7.91,5.55,-22.84,0.592585454
TP51,TP69,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.176,-1.176,0,-1.569,0,0,0,-1.569,1.176,0,5.49,0,0,-7.78,-8.21,7.94,5.51,-22.18,0.596826009
TP52,TP69,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.176,-1.176,0,-1.569,0,0,0,-1.569,1.176,0,5.49,0,0,-7.75,-8.21,7.91,5.51,-22.15,0.597018761
TP51,TP67,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.176,-1.176,0,0,-4.706,0,0,0,1.176,0,7.059,0,0,-7.78,-7.75,7.94,6.5,-19.58,0.613531226
TP51,TP68,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.176,-1.176,0,0,-4.706,0,0,0,1.176,0,7.059,0,0,-7.78,-7.38,7.94,6,-19.58,0.613531226
TP52,TP67,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.176,-1.176,0,0,-4.706,0,0,0,1.176,0,7.059,0,0,-7.75,-7.75,7.91,6.5,-19.54,0.613788229
TP52,TP68,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.176,-1.176,0,0,-4.706,0,0,0,1.176,0,7.059,0,0,-7.75,-7.38,7.91,6,-19.54,0.613788229
TP51,TP63,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.176,-1.176,0,0,-4.706,0,0,0,1.176,0,7.059,0,0,-7.78,-6.1,7.94,5.1,-19.32,0.615201748
TP52,TP63,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.176,-1.176,0,0,-4.706,0,0,0,1.176,0,7.059,0,0,-7.75,-6.1,7.91,5.1,-19.28,0.615458751
TP51,TP66,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.176,-1.176,0,0,-4.706,0,0,0,1.176,0,7.059,0,0,-7.78,-8.19,7.94,5.49,-18.78,0.618671293
TP51,TP65,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.176,-1.176,0,0,-4.706,0,0,0,1.176,0,7.059,0,0,-7.78,-7.6,7.94,5.86,-18.75,0.618864045
TP52,TP66,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.176,-1.176,0,0,-4.706,0,0,0,1.176,0,7.059,0,0,-7.75,-8.19,7.91,5.49,-18.75,0.618864045
TP52,TP65,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.176,-1.176,0,0,-4.706,0,0,0,1.176,0,7.059,0,0,-7.75,-7.6,7.91,5.86,-18.73,0.618992547
TP51,TP62,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.176,-1.176,0,-1.569,0,0,0,-1.569,1.176,0,5.49,0,0,-7.78,-7.89,7.94,6.41,-18.44,0.620855821
TP52,TP62,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.176,-1.176,0,-1.569,0,0,0,-1.569,1.176,0,5.49,0,0,-7.75,-7.89,7.91,6.41,-18.42,0.620984323
TP51,TP64,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.176,-1.176,0,0,-4.706,0,0,0,1.176,0,7.059,0,0,-7.78,-7.24,7.94,5.55,-18.26,0.622012336
TP52,TP64,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.176,-1.176,0,0,-4.706,0,0,0,1.176,0,7.059,0,0,-7.75,-7.24,7.91,5.55,-18.24,0.622140838
TP51,TP61,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.176,-1.176,0,-1.569,0,0,0,-1.569,1.176,0,5.49,0,0,-7.78,-7.58,7.94,5.92,-18.07,0.623233102
TP52,TP61,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.176,-1.176,0,-1.569,0,0,0,-1.569,1.176,0,5.49,0,0,-7.75,-7.58,7.91,5.92,-18.05,0.623361604
TP51,TP69,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.176,-1.176,0,0,-4.706,0,0,0,1.176,0,7.059,0,0,-7.78,-8.21,7.94,5.51,-17.56,0.626509895
TP52,TP69,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.176,-1.176,0,0,-4.706,0,0,0,1.176,0,7.059,0,0,-7.75,-8.21,7.91,5.51,-17.54,0.626638396
TP53,TP67,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.176,-1.176,0,-1.569,0,0,0,-1.569,1.176,0,5.49,0,0,-7.68,-7.75,8.01,6.5,-15.54,0.639488563
TP53,TP68,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.176,-1.176,0,-1.569,0,0,0,-1.569,1.176,0,5.49,0,0,-7.68,-7.38,8.01,6,-15.29,0.641094834
TP51,TP67,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.176,-1.176,-1.176,0,0,0,0,0,1.176,0,4.706,0,0,-7.78,-7.75,7.94,6.5,-14.95,0.643279363
TP52,TP67,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.176,-1.176,-1.176,0,0,0,0,0,1.176,0,4.706,0,0,-7.75,-7.75,7.91,6.5,-14.93,0.643407864
TP51,TP68,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.176,-1.176,-1.176,0,0,0,0,0,1.176,0,4.706,0,0,-7.78,-7.38,7.94,6,-14.72,0.644757132
TP52,TP68,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.176,-1.176,-1.176,0,0,0,0,0,1.176,0,4.706,0,0,-7.75,-7.38,7.91,6,-14.68,0.645014135
TP51,TP63,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.176,-1.176,-1.176,0,0,0,0,0,1.176,0,4.706,0,0,-7.78,-6.1,7.94,5.1,-14.46,0.646427654
TP52,TP63,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.176,-1.176,-1.176,0,0,0,0,0,1.176,0,4.706,0,0,-7.75,-6.1,7.91,5.1,-14.42,0.646684657
TP51,TP66,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.176,-1.176,-1.176,0,0,0,0,0,1.176,0,4.706,0,0,-7.78,-8.19,7.94,5.49,-13.92,0.649897199
TP51,TP65,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.176,-1.176,-1.176,0,0,0,0,0,1.176,0,4.706,0,0,-7.78,-7.6,7.94,5.86,-13.89,0.650089951
TP52,TP66,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.176,-1.176,-1.176,0,0,0,0,0,1.176,0,4.706,0,0,-7.75,-8.19,7.91,5.49,-13.89,0.650089951
TP52,TP65,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.176,-1.176,-1.176,0,0,0,0,0,1.176,0,4.706,0,0,-7.75,-7.6,7.91,5.86,-13.87,0.650218453
TP51,TP62,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.176,-1.176,0,0,-4.706,0,0,0,1.176,0,7.059,0,0,-7.78,-7.89,7.94,6.41,-13.84,0.650411205
TP52,TP62,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.176,-1.176,0,0,-4.706,0,0,0,1.176,0,7.059,0,0,-7.75,-7.89,7.91,6.41,-13.81,0.650603958
TP51,TP61,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.176,-1.176,0,0,-4.706,0,0,0,1.176,0,7.059,0,0,-7.78,-7.58,7.94,5.92,-13.46,0.652852737
TP52,TP61,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.176,-1.176,0,0,-4.706,0,0,0,1.176,0,7.059,0,0,-7.75,-7.58,7.91,5.92,-13.44,0.652981239
TP51,TP64,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.176,-1.176,-1.176,0,0,0,0,0,1.176,0,4.706,0,0,-7.78,-7.24,7.94,5.55,-13.4,0.653238242
TP52,TP64,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.176,-1.176,-1.176,0,0,0,0,0,1.176,0,4.706,0,0,-7.75,-7.24,7.91,5.55,-13.38,0.653366744
TP51,TP69,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.176,-1.176,-1.176,0,0,0,0,0,1.176,0,4.706,0,0,-7.78,-8.21,7.94,5.51,-12.71,0.65767155
TP52,TP69,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.176,-1.176,-1.176,0,0,0,0,0,1.176,0,4.706,0,0,-7.75,-8.21,7.91,5.51,-12.68,0.657864302
TP53,TP67,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.176,-1.176,0,0,-4.706,0,0,0,1.176,0,7.059,0,0,-7.68,-7.75,8.01,6.5,-10.68,0.670714469
TP53,TP68,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.176,-1.176,0,0,-4.706,0,0,0,1.176,0,7.059,0,0,-7.68,-7.38,8.01,6,-10.68,0.670714469
TP51,TP62,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.176,-1.176,-1.176,0,0,0,0,0,1.176,0,4.706,0,0,-7.78,-7.89,7.94,6.41,-8.98,0.681637111
TP52,TP62,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.176,-1.176,-1.176,0,0,0,0,0,1.176,0,4.706,0,0,-7.75,-7.89,7.91,6.41,-8.95,0.681829864
TP51,TP61,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.176,-1.176,-1.176,0,0,0,0,0,1.176,0,4.706,0,0,-7.78,-7.58,7.94,5.92,-8.6,0.684078643
TP52,TP61,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.176,-1.176,-1.176,0,0,0,0,0,1.176,0,4.706,0,0,-7.75,-7.58,7.91,5.92,-8.58,0.684207145
TP53,TP67,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.176,-1.176,-1.176,0,0,0,0,0,1.176,0,4.706,0,0,-7.68,-7.75,8.01,6.5,-6.07,0.700334104
TP53,TP68,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.176,-1.176,-1.176,0,0,0,0,0,1.176,0,4.706,0,0,-7.68,-7.38,8.01,6,-5.84,0.701811874
TP51,TP67,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.188,-1.188,0,-1.583,0,0,0,-1.583,1.188,0,5.542,0,0,-7.78,-7.75,7.94,6.5,-24.66,0.580891802
TP52,TP67,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.188,-1.188,0,-1.583,0,0,0,-1.583,1.188,0,5.542,0,0,-7.75,-7.75,7.91,6.5,-24.63,0.581084554
TP51,TP68,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.188,-1.188,0,-1.583,0,0,0,-1.583,1.188,0,5.542,0,0,-7.78,-7.38,7.94,6,-24.42,0.582433822
TP52,TP68,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.188,-1.188,0,-1.583,0,0,0,-1.583,1.188,0,5.542,0,0,-7.75,-7.38,7.91,6,-24.38,0.582690825
TP51,TP63,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.188,-1.188,0,-1.583,0,0,0,-1.583,1.188,0,5.542,0,0,-7.78,-6.1,7.94,5.1,-24.14,0.584232845
TP52,TP63,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.188,-1.188,0,-1.583,0,0,0,-1.583,1.188,0,5.542,0,0,-7.75,-6.1,7.91,5.1,-24.11,0.584425598
TP51,TP66,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.188,-1.188,0,-1.583,0,0,0,-1.583,1.188,0,5.542,0,0,-7.78,-8.19,7.94,5.49,-23.61,0.587638139
TP51,TP65,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.188,-1.188,0,-1.583,0,0,0,-1.583,1.188,0,5.542,0,0,-7.78,-7.6,7.94,5.86,-23.58,0.587830892
TP52,TP66,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.188,-1.188,0,-1.583,0,0,0,-1.583,1.188,0,5.542,0,0,-7.75,-8.19,7.91,5.49,-23.57,0.587895143
TP52,TP65,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.188,-1.188,0,-1.583,0,0,0,-1.583,1.188,0,5.542,0,0,-7.75,-7.6,7.91,5.86,-23.55,0.588023644
TP51,TP64,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.188,-1.188,0,-1.583,0,0,0,-1.583,1.188,0,5.542,0,0,-7.78,-7.24,7.94,5.55,-23.09,0.590979183
TP52,TP64,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.188,-1.188,0,-1.583,0,0,0,-1.583,1.188,0,5.542,0,0,-7.75,-7.24,7.91,5.55,-23.05,0.591236186
TP51,TP69,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.188,-1.188,0,-1.583,0,0,0,-1.583,1.188,0,5.542,0,0,-7.78,-8.21,7.94,5.51,-22.38,0.595540992
TP52,TP69,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.188,-1.188,0,-1.583,0,0,0,-1.583,1.188,0,5.542,0,0,-7.75,-8.21,7.91,5.51,-22.36,0.595669494
TP51,TP67,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.188,-1.188,0,0,-4.75,0,0,0,1.188,0,7.125,0,0,-7.78,-7.75,7.94,6.5,-20,0.610832691
TP52,TP67,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.188,-1.188,0,0,-4.75,0,0,0,1.188,0,7.125,0,0,-7.75,-7.75,7.91,6.5,-19.97,0.611025443
TP51,TP68,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.188,-1.188,0,0,-4.75,0,0,0,1.188,0,7.125,0,0,-7.78,-7.38,7.94,6,-19.76,0.612374711
TP52,TP68,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.188,-1.188,0,0,-4.75,0,0,0,1.188,0,7.125,0,0,-7.75,-7.38,7.91,6,-19.72,0.612631714
TP51,TP63,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.188,-1.188,0,0,-4.75,0,0,0,1.188,0,7.125,0,0,-7.78,-6.1,7.94,5.1,-19.5,0.614045233
TP52,TP63,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.188,-1.188,0,0,-4.75,0,0,0,1.188,0,7.125,0,0,-7.75,-6.1,7.91,5.1,-19.46,0.614302236
TP51,TP66,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.188,-1.188,0,0,-4.75,0,0,0,1.188,0,7.125,0,0,-7.78,-8.19,7.94,5.49,-18.95,0.617579029
TP51,TP65,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.188,-1.188,0,0,-4.75,0,0,0,1.188,0,7.125,0,0,-7.78,-7.6,7.94,5.86,-18.93,0.61770753
TP52,TP66,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.188,-1.188,0,0,-4.75,0,0,0,1.188,0,7.125,0,0,-7.75,-8.19,7.91,5.49,-18.93,0.61770753
TP52,TP65,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.188,-1.188,0,0,-4.75,0,0,0,1.188,0,7.125,0,0,-7.75,-7.6,7.91,5.86,-18.91,0.617836032
TP51,TP62,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.188,-1.188,0,-1.583,0,0,0,-1.583,1.188,0,5.542,0,0,-7.78,-7.89,7.94,6.41,-18.74,0.618928296
TP52,TP62,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.188,-1.188,0,-1.583,0,0,0,-1.583,1.188,0,5.542,0,0,-7.75,-7.89,7.91,6.41,-18.59,0.619892059
TP51,TP64,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.188,-1.188,0,0,-4.75,0,0,0,1.188,0,7.125,0,0,-7.78,-7.24,7.94,5.55,-18.43,0.620920072
TP52,TP64,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.188,-1.188,0,0,-4.75,0,0,0,1.188,0,7.125,0,0,-7.75,-7.24,7.91,5.55,-18.41,0.621048574
TP51,TP61,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.188,-1.188,0,-1.583,0,0,0,-1.583,1.188,0,5.542,0,0,-7.78,-7.58,7.94,5.92,-18.24,0.622140838
TP52,TP61,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.188,-1.188,0,-1.583,0,0,0,-1.583,1.188,0,5.542,0,0,-7.75,-7.58,7.91,5.92,-18.22,0.62226934
TP51,TP69,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.188,-1.188,0,0,-4.75,0,0,0,1.188,0,7.125,0,0,-7.78,-8.21,7.94,5.51,-17.73,0.62541763
TP52,TP69,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.188,-1.188,0,0,-4.75,0,0,0,1.188,0,7.125,0,0,-7.75,-8.21,7.91,5.51,-17.71,0.625546132
TP53,TP67,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.188,-1.188,0,-1.583,0,0,0,-1.583,1.188,0,5.542,0,0,-7.68,-7.75,8.01,6.5,-15.69,0.638524801
TP53,TP68,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.188,-1.188,0,-1.583,0,0,0,-1.583,1.188,0,5.542,0,0,-7.68,-7.38,8.01,6,-15.44,0.640131072
TP51,TP67,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.188,-1.188,-1.188,0,0,0,0,0,1.188,0,4.75,0,0,-7.78,-7.75,7.94,6.5,-15.09,0.642379851
TP52,TP67,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.188,-1.188,-1.188,0,0,0,0,0,1.188,0,4.75,0,0,-7.75,-7.75,7.91,6.5,-15.07,0.642508353
TP51,TP68,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.188,-1.188,-1.188,0,0,0,0,0,1.188,0,4.75,0,0,-7.78,-7.38,7.94,6,-14.86,0.64385762
TP52,TP68,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.188,-1.188,-1.188,0,0,0,0,0,1.188,0,4.75,0,0,-7.75,-7.38,7.91,6,-14.82,0.644114623
TP51,TP63,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.188,-1.188,-1.188,0,0,0,0,0,1.188,0,4.75,0,0,-7.78,-6.1,7.94,5.1,-14.59,0.645592393
TP52,TP63,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.188,-1.188,-1.188,0,0,0,0,0,1.188,0,4.75,0,0,-7.75,-6.1,7.91,5.1,-14.56,0.645785145
TP51,TP66,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.188,-1.188,-1.188,0,0,0,0,0,1.188,0,4.75,0,0,-7.78,-8.19,7.94,5.49,-14.05,0.649061938
TP51,TP65,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.188,-1.188,-1.188,0,0,0,0,0,1.188,0,4.75,0,0,-7.78,-7.6,7.94,5.86,-14.02,0.64925469
TP52,TP66,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.188,-1.188,-1.188,0,0,0,0,0,1.188,0,4.75,0,0,-7.75,-8.19,7.91,5.49,-14.02,0.64925469
TP52,TP65,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.188,-1.188,-1.188,0,0,0,0,0,1.188,0,4.75,0,0,-7.75,-7.6,7.91,5.86,-14,0.649383192
TP51,TP61,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.188,-1.188,0,0,-4.75,0,0,0,1.188,0,7.125,0,0,-7.78,-7.58,7.94,5.92,-13.59,0.652017476
TP52,TP61,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.188,-1.188,0,0,-4.75,0,0,0,1.188,0,7.125,0,0,-7.75,-7.58,7.91,5.92,-13.56,0.652210229
TP51,TP64,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.188,-1.188,-1.188,0,0,0,0,0,1.188,0,4.75,0,0,-7.78,-7.24,7.94,5.55,-13.53,0.652402981
TP52,TP64,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.188,-1.188,-1.188,0,0,0,0,0,1.188,0,4.75,0,0,-7.75,-7.24,7.91,5.55,-13.5,0.652595734
TP51,TP62,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.188,-1.188,0,0,-4.75,0,0,0,1.188,0,7.125,0,0,-7.78,-7.89,7.94,6.41,-13.21,0.654459008
TP52,TP62,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.188,-1.188,0,0,-4.75,0,0,0,1.188,0,7.125,0,0,-7.75,-7.89,7.91,6.41,-13.17,0.654716011
TP51,TP69,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.188,-1.188,-1.188,0,0,0,0,0,1.188,0,4.75,0,0,-7.78,-8.21,7.94,5.51,-12.83,0.65690054
TP52,TP69,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.188,-1.188,-1.188,0,0,0,0,0,1.188,0,4.75,0,0,-7.75,-8.21,7.91,5.51,-12.8,0.657093292
TP53,TP67,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.188,-1.188,0,0,-4.75,0,0,0,1.188,0,7.125,0,0,-7.68,-7.75,8.01,6.5,-11.03,0.66846569
TP53,TP68,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.188,-1.188,0,0,-4.75,0,0,0,1.188,0,7.125,0,0,-7.68,-7.38,8.01,6,-10.78,0.670071961
TP51,TP62,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.188,-1.188,-1.188,0,0,0,0,0,1.188,0,4.75,0,0,-7.78,-7.89,7.94,6.41,-9.06,0.681123105
TP52,TP62,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.188,-1.188,-1.188,0,0,0,0,0,1.188,0,4.75,0,0,-7.75,-7.89,7.91,6.41,-9.04,0.681251606
TP51,TP61,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.188,-1.188,-1.188,0,0,0,0,0,1.188,0,4.75,0,0,-7.78,-7.58,7.94,5.92,-8.68,0.683564636
TP52,TP61,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.188,-1.188,-1.188,0,0,0,0,0,1.188,0,4.75,0,0,-7.75,-7.58,7.91,5.92,-8.66,0.683693138
TP53,TP67,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.188,-1.188,-1.188,0,0,0,0,0,1.188,0,4.75,0,0,-7.68,-7.75,8.01,6.5,-6.13,0.699948599
TP53,TP68,C14H18O6 + 1O2 = C14H10O4 + 4H2O,1.188,-1.188,-1.188,0,0,0,0,0,1.188,0,4.75,0,0,-7.68,-7.38,8.01,6,-5.89,0.701490619
TP51,TP67,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.191,-1.191,0,-1.588,0,0,0,-1.588,1.191,0,5.559,0,0,-7.78,-7.75,7.94,6.5,-24.74,0.580377795
TP52,TP67,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.191,-1.191,0,-1.588,0,0,0,-1.588,1.191,0,5.559,0,0,-7.75,-7.75,7.91,6.5,-24.71,0.580570547
TP51,TP68,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.191,-1.191,0,-1.588,0,0,0,-1.588,1.191,0,5.559,0,0,-7.78,-7.38,7.94,6,-24.49,0.581984066
TP52,TP68,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.191,-1.191,0,-1.588,0,0,0,-1.588,1.191,0,5.559,0,0,-7.75,-7.38,7.91,6,-24.45,0.582241069
TP51,TP63,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.191,-1.191,0,-1.588,0,0,0,-1.588,1.191,0,5.559,0,0,-7.78,-6.1,7.94,5.1,-24.22,0.583718838
TP52,TP63,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.191,-1.191,0,-1.588,0,0,0,-1.588,1.191,0,5.559,0,0,-7.75,-6.1,7.91,5.1,-24.18,0.583975842
TP51,TP66,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.191,-1.191,0,-1.588,0,0,0,-1.588,1.191,0,5.559,0,0,-7.78,-8.19,7.94,5.49,-23.68,0.587188383
TP51,TP65,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.191,-1.191,0,-1.588,0,0,0,-1.588,1.191,0,5.559,0,0,-7.78,-7.6,7.94,5.86,-23.66,0.587316885
TP52,TP66,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.191,-1.191,0,-1.588,0,0,0,-1.588,1.191,0,5.559,0,0,-7.75,-8.19,7.91,5.49,-23.64,0.587445387
TP52,TP65,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.191,-1.191,0,-1.588,0,0,0,-1.588,1.191,0,5.559,0,0,-7.75,-7.6,7.91,5.86,-23.62,0.587573888
TP51,TP64,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.191,-1.191,0,-1.588,0,0,0,-1.588,1.191,0,5.559,0,0,-7.78,-7.24,7.94,5.55,-23.16,0.590529427
TP52,TP64,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.191,-1.191,0,-1.588,0,0,0,-1.588,1.191,0,5.559,0,0,-7.75,-7.24,7.91,5.55,-23.12,0.59078643
TP51,TP69,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.191,-1.191,0,-1.588,0,0,0,-1.588,1.191,0,5.559,0,0,-7.78,-8.21,7.94,5.51,-22.45,0.595091236
TP52,TP69,C14H18O6 + 4/3·O2- + 4/3H+ = C14H10O4 + 14/3H2O,1.191,-1.191,0,-1.588,0,0,0,-1.588,1.191,0,5.559,0,0,-7.75,-8.21,7.91,5.51,-22.43,0.595219738
TP51,TP67,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.191,-1.191,0,0,-4.765,0,0,0,1.191,0,7.147,0,0,-7.78,-7.75,7.94,6.5,-19.82,0.611989206
TP51,TP68,C14H18O6 + 4·OH = C14H10O4 + 6H2O,1.191,-1.191,0,0,-4.765,0,0,0,1.191,0,7.147,0,0,-7.78,-7.38,7.94,6,-19.82,0.611989206
